phase,step,time_s,chassis_y,chassis_vy,chassis_accel,wheel_y,wheel_vy,compression,suspension_travel,normal_impulse,loaded_points,persisted_points,step_ms
static,17,0.283333333,1.3528332710266113,-4.4703483581542969e-07,1.0058283805847168e-05,0.51394456624984741,6.7732450759194762e-09,0.00015543375015258931,0.11111129522323604,64.666488647460938,2,2,0.005859375
static,18,0.3,1.3528332710266113,-2.8630100246118673e-07,9.6440300012545777e-06,0.51394456624984741,6.7732450759194762e-09,0.00015543375015258931,0.11111129522323604,64.666488647460938,2,2,0.005859375
static,19,0.316666667,1.3528332710266113,-1.3783574104309082e-07,8.9079156850857544e-06,0.51394456624984741,7.4505912550648645e-09,0.00015543375015258931,0.11111129522323604,64.666484832763672,2,2,0.005615234375
static,20,0.333333333,1.3528332710266113,3.7252902984619141e-09,8.4936618804931641e-06,0.51394456624984741,7.4505912550648645e-09,0.00015543375015258931,0.11111129522323604,64.666477203369141,2,2,0.005859375
static,21,0.35,1.3528332710266113,1.3783574104309082e-07,8.0466270446777344e-06,0.51394456624984741,7.4505912550648645e-09,0.00015543375015258931,0.11111129522323604,64.666473388671875,2,2,0.005859375
static,22,0.366666667,1.3528332710266113,2.6077032089233398e-07,7.3760747909545898e-06,0.51394456624984741,-6.7734617914538831e-10,0.00015543375015258931,0.11111129522323604,64.666469573974609,2,2,0.005859375
static,23,0.383333333,1.3528332710266113,3.7997961044311523e-07,7.152557373046875e-06,0.51394456624984741,0,0.00015543375015258931,0.11111129522323604,64.666477203369141,2,2,0.005859375
static,24,0.4,1.3528332710266113,4.7321120177912235e-07,5.5938954801604268e-06,0.51394456624984741,7.4505912550648645e-09,0.00015543375015258931,0.11111129522323604,64.666473388671875,2,2,0.005859375
static,25,0.416666667,1.3528332710266113,5.7006872111742268e-07,5.8114511602980201e-06,0.51394456624984741,7.4505912550648645e-09,0.00015543375015258931,0.11111129522323604,64.666469573974609,2,2,0.005859375
static,26,0.433333333,1.3528332710266113,6.6374735752106062e-07,5.6207181842182763e-06,0.51394456624984741,7.4505912550648645e-09,0.00015543375015258931,0.11111129522323604,64.666461944580078,2,2,0.005859375
static,27,0.45,1.3528332710266113,7.4515736514513264e-07,4.8846004574443214e-06,0.51394456624984741,3.3866278670302563e-09,0.00015543375015258931,0.11111129522323604,64.666465759277344,2,2,0.005615234375
static,28,0.466666667,1.3528332710266113,8.2393484035492293e-07,4.7266485125874169e-06,0.51394456624984741,7.4505912550648645e-09,0.00015543375015258931,0.11111129522323604,64.666465759277344,2,2,0.005859375
static,29,0.483333333,1.3528332710266113,8.9099006572723738e-07,4.0233135223388672e-06,0.51394456624984741,6.7734617914538831e-10,0.00015543375015258931,0.11111129522323604,64.666461944580078,2,2,0.005859375
static,30,0.5,1.3528332710266113,9.4259775096361409e-07,3.0964611141826026e-06,0.51394456624984741,-1.1368683772161603e-13,0.00015543375015258931,0.11111129522323604,64.666465759277344,2,2,0.005859375
