# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=sphere mode=0 steer=-1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
29,0.500000026,-27.784717560,-21.532768250,+10.141787529,-2.346306562,-0.869015694,+0.415546417,-0.061883479,-0.193717495,+77.862045288,+77.862045288,+406.397216797,+2.365415812,+0.388261735,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
30,0.516666694,-28.736116409,-22.339603424,+10.113197327,-2.355078936,-0.867910087,+0.415925980,-0.064125143,-0.207140565,+80.639724731,+80.639724731,+417.242370605,+2.489056587,+0.381254077,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
31,0.533333361,-29.792945862,-23.350431442,+10.079540253,-2.379358768,-0.865018129,+0.418820381,-0.066600069,-0.222934186,+81.724243164,+81.724243164,+431.833557129,+2.673618555,+0.383269995,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
32,0.550000029,-30.941736221,-24.536581039,+10.043622971,-2.407816410,-0.860353291,+0.422325134,-0.069373637,-0.240033448,+83.183357239,+83.183357239,+439.828948975,+2.907489061,+0.379315972,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
33,0.566666696,-32.157253265,-25.866338730,+10.006359100,-2.432661533,-0.853967667,+0.425105095,-0.072382644,-0.255775452,+83.982894897,+83.982894897,+446.277923584,+3.155348063,+0.381534010,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
34,0.583333364,-33.431987762,-27.316326141,+9.964492798,-2.457096100,-0.843583941,+0.427583694,-0.075503871,-0.261397123,+84.627792358,+84.627792358,+451.085906982,+3.382008076,+0.386899382,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
35,0.600000031,-34.815711975,-28.864831924,+9.919386864,-2.418356180,-0.852761984,+0.418929100,-0.079040691,-0.294764012,+85.108596802,+85.108596802,+468.779357910,+3.580725193,+0.394808471,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
36,0.616666699,-36.135364532,-30.474666595,+9.877882004,-2.348187208,-0.839477479,+0.405057907,-0.081725456,-0.209834859,+86.877937317,+86.877937317,+432.198242188,+3.691934586,+0.418617964,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
37,0.633333366,-37.171752930,-32.062004089,+9.824623108,-2.433166265,-0.830640435,+0.417470932,-0.081869893,-0.197024256,-83.219825745,+83.219825745,+159.860794067,+3.403398752,+0.462400973,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
38,0.650000034,-37.434097290,-33.581607819,+9.776927948,-2.552111864,-0.825550556,+0.435779572,-0.083676755,-0.171672195,+55.986076355,+55.986080170,+160.419494629,+2.889332771,+0.490527928,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
39,0.666666701,-38.598205566,-34.949676514,+9.747314453,-2.736916542,-0.845027387,+0.465966225,-0.084172912,-0.097024627,+56.041950226,+56.041950226,+274.058227539,+4.716059208,+0.496928155,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
40,0.683333369,-38.522834778,-36.138923645,+9.702679634,-2.926666737,-0.856363297,+0.496044159,-0.084224395,-0.084046952,+67.405822754,+67.405822754,+348.490966797,+4.881494522,+0.562128544,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
41,0.700000037,-38.212337494,-37.097576141,+9.635684013,-3.055220604,-0.843486547,+0.514297485,-0.084244102,-0.070109330,+74.849098206,+74.849098206,+415.811523438,+4.737596035,+0.550726056,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
42,0.716666704,-37.873493195,-37.807834625,+9.559569359,-3.172984838,-0.822229505,+0.529941559,-0.084319226,-0.069806285,+81.581153870,+81.581153870,+481.670471191,+4.435776711,+0.497167289,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
43,0.733333372,-37.727066040,-38.273586273,+9.491699219,-3.316271544,-0.812938988,+0.549992561,-0.084390938,-0.084524341,+88.167053223,+88.167053223,+491.033081055,+4.209863663,+0.568839908,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
44,0.750000039,-37.712013245,-38.440471649,+9.436929703,-3.433565140,-0.813209653,+0.566205025,-0.084543541,-0.084665105,+89.103309631,+89.103309631,+507.073974609,+4.119976997,+0.569134295,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
45,0.766666707,-37.720787048,-38.280677795,+9.388443947,-3.527424097,-0.821850002,+0.578732491,-0.084527433,-0.077844411,+87.002685547,+90.707397461,+490.714050293,+4.077115059,+0.605844378,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
46,0.783333374,-37.689510345,-37.786956787,+9.338685036,-3.587780237,-0.829564214,+0.585540771,-0.084493622,-0.065206848,+89.071411133,+89.071411133,+465.207519531,+4.002253532,+0.569827139,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
47,0.800000042,-37.602260590,-37.002159119,+9.282356262,-3.628749609,-0.834224880,+0.588672638,-0.084323503,-0.057345808,+86.520744324,+86.520751953,+386.100738525,+3.887398958,+0.563471437,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
48,0.816666709,-37.527278900,-36.017009735,+9.222405434,-3.683146477,-0.829810739,+0.593662262,-0.083603725,+0.003100092,-43.790161133,+78.610076904,+197.362457275,+3.800466537,+0.568282247,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
49,0.833333377,-37.466110229,-34.881046295,+9.166620255,-3.820435286,-0.835904598,+0.612130165,-0.083746180,-0.087229826,+83.630737305,+83.630737305,+148.005996704,+3.808737755,+0.483632147,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
50,0.850000044,-37.373069763,-33.641380310,+9.116066933,-3.889346361,-0.833705723,+0.619768143,-0.083468340,-0.050122213,+54.800598145,+54.800598145,+169.355743408,+3.900954008,+0.393406034,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
