# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=torus mode=4 steer=+1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
53,0.900000047,-4.768078804,-3.885952711,+7.383009911,-15.572430611,+0.383109361,+2.057544708,-0.015763965,-0.203471363,+71.956466675,+71.956466675,+243.766998291,+0.000000000,+1.209060788,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,4,14
54,0.916666714,-5.378881931,-4.863692760,+7.360475540,-15.410572052,+0.365119308,+2.028874397,-0.015484702,+0.078968890,-64.376701355,+64.376701355,+189.357299805,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,13
55,0.933333382,-5.489065170,-5.653501987,+7.341240883,-15.395274162,+0.390926540,+2.021463394,-0.019165605,-0.320025176,+58.935726166,+58.935729980,+29.005622864,-0.020218778,+0.705949843,+0.000000000,-0.000495179,+0.000000000,-0.003674889,+0.000000000,-0.000086192,7,14
56,0.950000050,-6.157817364,-6.492568493,+7.306799412,-15.243092537,+0.361693799,+1.991116047,-0.019770473,+0.050633460,-42.900562286,+42.900562286,+76.991455078,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
57,0.966666717,-6.636909008,-7.115259171,+7.277496338,-15.571240425,+0.341055661,+2.027976513,-0.021611024,-0.258143902,+47.699146271,+47.699146271,+139.841125488,+0.000000000,+0.342972934,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,13
58,0.983333385,-7.050269604,-8.056651115,+7.244009018,-14.991809845,+0.383830220,+1.939916849,-0.024585281,+0.021376956,+53.984111786,+53.984111786,+54.575969696,-0.060773596,+1.794371605,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,7,15
59,1.000000052,-7.780407906,-8.949420929,+7.202064991,-15.418818474,+0.337355465,+1.986324549,-0.024381876,-0.026373545,+2.243456602,+45.457595825,+8.561450005,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
60,1.016666720,-8.324890137,-9.434737206,+7.169880867,-15.260627747,+0.210333720,+1.956162930,-0.026313141,-0.079447426,+40.856140137,+40.856143951,+13.707538605,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,13
61,1.033333387,-8.703208923,-9.629739761,+7.156442165,-14.650968552,+0.264186323,+1.870913267,-0.029201146,-0.031390492,+41.370754242,+41.370754242,+103.870018005,-0.115274921,+1.301939130,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,9,13
62,1.050000055,-9.350464821,-10.007518768,+7.118433952,-14.691290855,+0.271388382,+1.866329670,-0.028430656,+0.037068509,-50.386997223,+50.387001038,+219.874374390,-0.108634666,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,14
