# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=torus mode=4 steer=-1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
42,0.716666704,+7.360593319,+5.635881424,+7.653677464,+16.866584778,-0.466496468,-2.320490122,+0.019798473,-0.007053718,+7.754076004,+53.005359650,+231.590423584,-0.016378310,+0.144841552,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,14
43,0.733333372,+7.855176449,+6.594109058,+7.614837646,+16.471059799,-0.406844795,-2.251435041,+0.024041824,+0.090245247,-45.341575623,+88.422660828,+126.723602295,-1.084436655,+0.232423067,+0.084143534,+0.000000000,+0.041359793,+0.000000000,+0.001136349,+0.000000000,8,15
44,0.750000039,+8.403830528,+7.713439941,+7.559357166,+16.509490967,-0.364939779,-2.240546227,+0.024744183,+0.052977521,-52.672359467,+52.672359467,+108.771583557,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,15
45,0.766666707,+8.988090515,+8.647913933,+7.534666061,+16.721374512,-0.325779915,-2.263572454,+0.026605871,+0.176417693,-50.877159119,+50.877159119,+111.866394043,-0.358862966,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,14
46,0.783333374,+9.816525459,+9.237387657,+7.502923965,+16.603353500,-0.413636982,-2.237196922,+0.030145107,+0.181959823,-51.186637878,+51.186637878,+90.059646606,-1.964228749,-0.411557496,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,5,14
47,0.800000042,+10.831551552,+10.069749832,+7.477704525,+17.005130768,-0.404132277,-2.286896229,+0.030930664,+0.138920918,-49.005966187,+49.005966187,+15.106111526,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
48,0.816666709,+11.592365265,+10.829635620,+7.447043419,+16.866807938,-0.265259355,-2.257873297,+0.033282161,+0.120967433,-41.510612488,+41.510612488,+118.920333862,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,13
49,0.833333377,+11.934107780,+11.375599861,+7.421574593,+16.621877670,-0.355597347,-2.215553522,+0.035394147,+0.015536386,+17.164430618,+51.892032623,+27.027320862,-1.595114589,-0.359421104,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,6,14
50,0.850000044,+12.211261749,+12.007600784,+7.384248734,+16.899316788,-0.324748784,-2.243410110,+0.035233773,+0.051561859,-42.702732086,+42.702732086,+84.252960205,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
51,0.866666712,+12.444705963,+12.284793854,+7.343603134,+17.376920700,-0.315908134,-2.298097610,+0.036147609,+0.095094718,-48.425296783,+48.425296783,+252.638671875,+0.000000000,-0.051872052,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,1,14
