# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=sphere mode=0 steer=+1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
48,0.816666709,+4.176093102,+5.254875183,+10.390746117,+2.341039658,+0.375082374,-0.424790382,+0.011792187,+0.125659913,-40.537345886,+48.774417877,+83.400680542,-0.806733072,+0.915840268,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
49,0.833333377,+4.153107166,+5.121907711,+10.384885788,+2.298155069,+0.361821771,-0.416765213,+0.011832194,+0.120407850,-47.686553955,+48.340068817,+78.613189697,-0.841633022,+0.930788040,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
50,0.850000044,+4.167037964,+5.041051388,+10.379684448,+2.240574837,+0.348950297,-0.406108856,+0.011959634,+0.116327390,-47.861320496,+47.861320496,+72.391456604,-0.866977453,+0.938902438,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
51,0.866666712,+4.211145878,+5.010434628,+10.372032166,+2.178760529,+0.335654914,-0.394602776,+0.012075341,+0.110579826,-47.239147186,+47.239147186,+68.331993103,-0.890352726,+0.945604622,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
52,0.883333379,+4.260769367,+5.026518345,+10.367423058,+2.051282167,+0.334340602,-0.371329308,+0.012204361,+0.095431544,-21.550991058,+46.833198547,+53.110095978,-0.921532750,+0.950775743,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
53,0.900000047,+4.305667877,+4.995676517,+10.365345955,+1.932115316,+0.319099247,-0.349670410,+0.012445690,+0.084437147,-45.311008453,+45.311008453,+41.798011780,-0.948672891,+0.972647429,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
54,0.916666714,+4.351640701,+4.962506294,+10.365037918,+1.833387256,+0.308558941,-0.331780434,+0.012408567,+0.082845010,-17.721349716,+44.179801941,+43.864166260,-0.948142469,+0.963300347,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
55,0.933333382,+4.368802071,+4.969665527,+10.362797737,+1.761811376,+0.303701699,-0.318750381,+0.012364341,+0.093426913,-26.411600113,+44.386417389,+53.694442749,-0.950783312,+0.965384960,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
56,0.950000050,+4.350788593,+4.992866039,+10.357862473,+1.708854079,+0.300370663,-0.309016228,+0.012343715,+0.097015448,-20.964040756,+45.369445801,+54.292369843,-0.945044219,+1.024112225,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
57,0.966666717,+4.294677734,+4.987837791,+10.351997375,+1.658038139,+0.297626704,-0.299652100,+0.012191458,+0.092997223,-8.080343246,+45.429237366,+50.860496521,-0.935502768,+1.030735016,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
