# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.500000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
48,0.816666709,+34.586914062,+35.229412079,+10.393246651,+1.446893215,+0.790713847,-0.262516975,+0.082432359,+0.206703693,-56.908256531,+56.908256531,+177.954284668,-0.508088112,-1.892921209,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
49,0.833333377,+34.644935608,+35.919578552,+10.324090004,+1.498883247,+0.779208720,-0.270144463,+0.082590483,+0.201561406,-57.795429230,+57.795429230,+158.054901123,-0.501121044,-1.680481553,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
50,0.850000044,+34.606266022,+36.653766632,+10.252648354,+1.557967663,+0.768704891,-0.278855324,+0.082758211,+0.153585419,-55.805484772,+55.805488586,+131.245498657,-0.526227951,-1.495692849,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
51,0.866666712,+34.340660095,+37.108592987,+10.192574501,+1.723822713,+0.773733318,-0.306750298,+0.082521290,+0.167986080,-53.124549866,+53.124549866,+149.895904541,-0.495353699,-1.369080424,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
52,0.883333379,+33.926467896,+37.333904266,+10.140962601,+1.800019145,+0.774791896,-0.318696022,+0.082536146,+0.137715012,-54.989589691,+54.989589691,+144.270294189,-0.475968361,-1.280175447,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
53,0.900000047,+33.411727905,+37.397853851,+10.090282440,+1.902704954,+0.785011709,-0.335206032,+0.082404487,+0.130355567,-54.427028656,+54.427028656,+226.309921265,-0.529458225,-1.463547230,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
54,0.916666714,+32.889091492,+36.726757050,+10.041892052,+1.845515728,+0.759987116,-0.323564529,+0.082761638,+0.186241180,-62.630992889,+62.630992889,+356.019409180,-0.503531277,-0.962458372,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
55,0.933333382,+32.442558289,+36.506324768,+9.993376732,+1.884902835,+0.758442044,-0.328878403,+0.082457900,+0.247129887,-75.601936340,+75.601943970,+422.812927246,-0.463571459,-1.428775311,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
56,0.950000050,+32.158943176,+36.818347931,+9.947343826,+1.936982632,+0.757105708,-0.336415291,+0.083085053,+0.287944496,-82.281295776,+82.281295776,+506.338134766,-0.456347406,-1.724822521,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
57,0.966666717,+31.987894058,+37.304141998,+9.909611702,+2.031726599,+0.768657684,-0.351545334,+0.083089992,+0.256476551,-90.633819580,+90.633819580,+618.861816406,-0.516450167,-1.981383801,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
58,0.983333385,+31.820947647,+37.659969330,+9.872676849,+2.104798079,+0.786292553,-0.362842560,+0.082938656,+0.201219723,-101.886184692,+101.886184692,+550.328491211,-0.403163850,-2.204201698,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
59,1.000000052,+31.655797958,+37.557769775,+9.837877274,+2.084103823,+0.825923622,-0.358005524,+0.082896136,+0.189533308,-95.032844543,+95.032852173,+563.992675781,-0.493875504,-2.374586582,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
60,1.016666720,+31.443716049,+36.930435181,+9.796787262,+1.999789476,+0.833016574,-0.342075348,+0.082486384,+0.116880856,-96.399269104,+96.399269104,+437.298370361,-0.364646822,-2.402920485,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
61,1.033333387,+31.331407547,+35.991481781,+9.741696358,+2.077516794,+0.837082088,-0.353384018,+0.081561185,+0.086013690,-83.729843140,+83.729843140,+422.556793213,-0.480668485,-2.388678074,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
62,1.050000055,+31.355833054,+35.143348694,+9.679784775,+2.199226141,+0.817555189,-0.371728897,+0.081257798,+0.072851270,-82.255676270,+82.255676270,+291.960601807,-0.372797847,-2.290080070,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
