# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.400000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
41,0.700000037,-5.018552303,-3.736216545,+11.968008041,-0.261024475,-0.520226181,+0.054523468,-0.009075664,+0.049673952,-49.872325897,+49.872325897,+175.939941406,-0.892624021,+0.610729337,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
42,0.716666704,-4.833874226,-3.564603567,+11.965887070,-0.289829522,-0.498655230,+0.060529709,-0.008299990,+0.037580829,-57.593994141,+57.593994141,+202.072082520,-1.003580332,+0.640524209,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
43,0.733333372,-4.776216984,-3.387343884,+11.953083038,-0.342338413,-0.473732561,+0.071419716,-0.008038791,+0.027725764,-60.207206726,+60.207206726,+159.793075562,-1.060850859,+0.633480191,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
44,0.750000039,-4.774434566,-3.208698034,+11.938032150,-0.397139043,-0.446391404,+0.082748413,-0.007970645,+0.027692055,-55.979309082,+55.979309082,+103.071281433,-1.079608202,+0.611589611,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
45,0.766666707,-4.781476021,-3.042624235,+11.927291870,-0.461689591,-0.421086431,+0.096112251,-0.007932066,+0.026301328,-50.307128906,+50.307128906,+57.367042542,-1.084301949,+0.603627324,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
46,0.783333374,-4.781999588,-2.908721924,+11.921870232,-0.530662239,-0.399230510,+0.110421181,-0.007911612,+0.026351931,-45.736705780,+45.736705780,+29.037801743,-1.092311025,+0.616335511,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
47,0.800000042,-4.774999142,-2.823164225,+11.919743538,-0.608803034,-0.378667891,+0.126659393,-0.007855885,+0.028846748,-42.903781891,+42.903781891,+15.499246597,-1.091636658,+0.640743554,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
48,0.816666709,-4.754166603,-2.781518698,+11.915785789,-0.661288798,-0.367802948,+0.137534142,-0.007911897,+0.024756305,-41.549922943,+41.549922943,+21.970991135,-1.075889349,+0.676619709,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
49,0.833333377,-4.710994720,-2.786640882,+11.908690453,-0.707720578,-0.354307950,+0.147104263,-0.007922553,+0.029405443,-42.197097778,+42.197097778,+29.736137390,-1.066738725,+0.715851545,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
50,0.850000044,-4.641631126,-2.820415974,+11.900718689,-0.767653108,-0.339935958,+0.159456253,-0.007897201,+0.031764414,-42.973613739,+42.973613739,+44.286663055,-1.077196360,+0.743972838,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
51,0.866666712,-4.550479412,-2.861725807,+11.893202782,-0.840209186,-0.325918674,+0.174419403,-0.007865434,+0.032435454,-44.428665161,+44.428665161,+59.240165710,-1.090362787,+0.759755671,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
52,0.883333379,-4.441859722,-2.891092300,+11.886129379,-0.909322977,-0.314258069,+0.188656807,-0.007823450,+0.034101002,-45.924015045,+45.924015045,+71.453506470,-1.108019829,+0.772435665,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
53,0.900000047,-4.323558807,-2.895113945,+11.879016876,-0.966926754,-0.305060953,+0.200489998,-0.007755720,+0.036293890,-47.145347595,+47.145351410,+78.894454956,-1.118942261,+0.818856001,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
54,0.916666714,-4.188258648,-2.950552464,+11.869340897,-1.008020997,-0.292380184,+0.208842278,-0.008239353,+0.014922992,-9.707361221,+47.889446259,+78.705505371,-1.132415533,+0.788341045,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
55,0.933333382,-3.897751808,-2.890245676,+11.861092567,-0.995928288,-0.290884972,+0.206192970,-0.008131688,+0.034758829,-47.870552063,+47.870552063,+10.357200623,-1.088700652,+0.809524298,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
